Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,FUET-1325,1,FUET-1325H,C2982583
"C1, C11, C12, C2, C3, C4, C7, C8",1206,8,10uF,C13585
"C10, C6",0402,2,10nF,C15195
"C13, C14, C15, C16",0402,4,100n,C1525
"C5, C9",1206,2,2.2uF,C50254
"D1, D2, D3, D4",0805,4,LED,C5878906
F1,0805,1,500mA,C269104
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"L1, L2, L3",SMMS0650-101M,3,SMMS0650-101M,C2894722
"R1, R2",0603,2,5k1,C23186
"R10, R7, R8, R9",0603,4,510k,C23192
"R11, R12",0402,2,3.3k,C25890
"R3, R4, R5, R6",0805,4,180R,C25270
"U1, U2",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias_Larger,2,DRV8833PWP,C50506
"U3, U4",QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,2,CH32V003FxUx,C5299908
